county,2024-11-19 00:00:00,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
income in Calaveras County ,,,,,
,,,,,
Area,Year,Period,Income Type,Income,Population
Trinity County ,2022,Annual,Per Capita Personal Income - BEA,36314,15927
Lassen County ,2022,Annual,Per Capita Personal Income - BEA,40700,29544
Kings County ,2022,Annual,Per Capita Personal Income - BEA,42525,151954
Del Norte County ,2022,Annual,Per Capita Personal Income - BEA,43677,26738
Kern County ,2022,Annual,Per Capita Personal Income - BEA,44862,908708
Imperial County ,2022,Annual,Per Capita Personal Income - BEA,45188,179914
Lake County ,2022,Annual,Per Capita Personal Income - BEA,45623,67206
Merced County ,2022,Annual,Per Capita Personal Income - BEA,46188,285140
Madera County ,2022,Annual,Per Capita Personal Income - BEA,46406,157287
Tulare County ,2022,Annual,Per Capita Personal Income - BEA,47295,474861
Tehama County ,2022,Annual,Per Capita Personal Income - BEA,47315,64993
Sierra County ,2022,Annual,Per Capita Personal Income - BEA,47877,3186
Yuba County ,2022,Annual,Per Capita Personal Income - BEA,48204,82667
Amador County ,2022,Annual,Per Capita Personal Income - BEA,48463,40105
San Bernardino County ,2022,Annual,Per Capita Personal Income - BEA,49270,2179263
Fresno County ,2022,Annual,Per Capita Personal Income - BEA,50549,1011462
Stanislaus County ,2022,Annual,Per Capita Personal Income - BEA,51015,547905
Glenn County ,2022,Annual,Per Capita Personal Income - BEA,51055,28449
Riverside County ,2022,Annual,Per Capita Personal Income - BEA,51415,2432203
Siskiyou County ,2022,Annual,Per Capita Personal Income - BEA,51788,43307
Sutter County ,2022,Annual,Per Capita Personal Income - BEA,52005,98641
Tuolumne County ,2022,Annual,Per Capita Personal Income - BEA,52806,53409
Humboldt County ,2022,Annual,Per Capita Personal Income - BEA,54043,134657
Shasta County ,2022,Annual,Per Capita Personal Income - BEA,54120,179786
San Joaquin County ,2022,Annual,Per Capita Personal Income - BEA,54183,784017
Butte County ,2022,Annual,Per Capita Personal Income - BEA,54974,206498
Colusa County ,2022,Annual,Per Capita Personal Income - BEA,55502,21814
Calaveras County ,2022,Annual,Per Capita Personal Income - BEA,56001,44769
Modoc County ,2022,Annual,Per Capita Personal Income - BEA,56559,8517
Mendocino County ,2022,Annual,Per Capita Personal Income - BEA,57310,89960
Solano County ,2022,Annual,Per Capita Personal Income - BEA,58273,447012
Plumas County ,2022,Annual,Per Capita Personal Income - BEA,59387,19280
Mariposa County ,2022,Annual,Per Capita Personal Income - BEA,61230,16943
Inyo County ,2022,Annual,Per Capita Personal Income - BEA,61501,18847
Sacramento County ,2022,Annual,Per Capita Personal Income - BEA,61558,1578644
San Benito County ,2022,Annual,Per Capita Personal Income - BEA,61693,65481
Yolo County ,2022,Annual,Per Capita Personal Income - BEA,64279,221342
Monterey County ,2022,Annual,Per Capita Personal Income - BEA,65123,436843
Mono County ,2022,Annual,Per Capita Personal Income - BEA,65296,13185
Alpine County ,2022,Annual,Per Capita Personal Income - BEA,67551,1175
San Luis Obispo County ,2022,Annual,Per Capita Personal Income - BEA,67951,280629
Nevada County ,2022,Annual,Per Capita Personal Income - BEA,72759,101137
Los Angeles County ,2022,Annual,Per Capita Personal Income - BEA,74142,9840925
San Diego County ,2022,Annual,Per Capita Personal Income - BEA,74326,3293911
Santa Barbara County ,2022,Annual,Per Capita Personal Income - BEA,75720,443956
Ventura County ,2022,Annual,Per Capita Personal Income - BEA,76375,830434
California ,2022,Annual,Per Capita Personal Income - BEA,77036,39146273
Sonoma County ,2022,Annual,Per Capita Personal Income - BEA,77900,481297
Alpine County ,2022,Annual,Total Personal Income - BEA,80386,1175
Placer County ,2022,Annual,Per Capita Personal Income - BEA,81791,409692
El Dorado County ,2022,Annual,Per Capita Personal Income - BEA,82062,189386
Orange County ,2022,Annual,Per Capita Personal Income - BEA,83553,3154042
Santa Cruz County ,2022,Annual,Per Capita Personal Income - BEA,86365,265158
Napa County ,2022,Annual,Per Capita Personal Income - BEA,86863,135497
Contra Costa County ,2022,Annual,Per Capita Personal Income - BEA,95047,1150114
Alameda County ,2022,Annual,Per Capita Personal Income - BEA,97754,1649975
Santa Clara County ,2022,Annual,Per Capita Personal Income - BEA,144399,1903274
Sierra County ,2022,Annual,Total Personal Income - BEA,154021,3186
San Francisco County ,2022,Annual,Per Capita Personal Income - BEA,155819,843094
Marin County ,2022,Annual,Per Capita Personal Income - BEA,171177,255851
San Mateo County ,2022,Annual,Per Capita Personal Income - BEA,175070,746262
Modoc County ,2022,Annual,Total Personal Income - BEA,481376,8517
Trinity County ,2022,Annual,Total Personal Income - BEA,573075,15927
Mono County ,2022,Annual,Total Personal Income - BEA,847409,13185
Mariposa County ,2022,Annual,Total Personal Income - BEA,1042143,16943
Plumas County ,2022,Annual,Total Personal Income - BEA,1149201,19280
Inyo County ,2022,Annual,Total Personal Income - BEA,1151182,18847
Del Norte County ,2022,Annual,Total Personal Income - BEA,1182855,26738
Colusa County ,2022,Annual,Total Personal Income - BEA,1216260,21814
Lassen County ,2022,Annual,Total Personal Income - BEA,1217102,29544
Glenn County ,2022,Annual,Total Personal Income - BEA,1446856,28449
Amador County ,2022,Annual,Total Personal Income - BEA,2006939,40105
Siskiyou County ,2022,Annual,Total Personal Income - BEA,2261048,43307
Calaveras County ,2022,Annual,Total Personal Income - BEA,2607568,44769
Tuolumne County ,2022,Annual,Total Personal Income - BEA,2879540,53409
Tehama County ,2022,Annual,Total Personal Income - BEA,3087088,64993
Lake County ,2022,Annual,Total Personal Income - BEA,3111067,67206
Yuba County ,2022,Annual,Total Personal Income - BEA,4064114,82667
San Benito County ,2022,Annual,Total Personal Income - BEA,4169135,65481
Sutter County ,2022,Annual,Total Personal Income - BEA,5122683,98641
Mendocino County ,2022,Annual,Total Personal Income - BEA,5145470,89960
Kings County ,2022,Annual,Total Personal Income - BEA,6505590,151954
Humboldt County ,2022,Annual,Total Personal Income - BEA,7296395,134657
Madera County ,2022,Annual,Total Personal Income - BEA,7436909,157287
Nevada County ,2022,Annual,Total Personal Income - BEA,7442705,101137
Imperial County ,2022,Annual,Total Personal Income - BEA,8075656,179914
Shasta County ,2022,Annual,Total Personal Income - BEA,9791945,179786
Butte County ,2022,Annual,Total Personal Income - BEA,11396345,206498
Napa County ,2022,Annual,Total Personal Income - BEA,11665710,135497
Merced County ,2022,Annual,Total Personal Income - BEA,13395227,285140
Yolo County ,2022,Annual,Total Personal Income - BEA,14277264,221342
El Dorado County ,2022,Annual,Total Personal Income - BEA,15808893,189386
San Luis Obispo County ,2022,Annual,Total Personal Income - BEA,19162980,280629
Tulare County ,2022,Annual,Total Personal Income - BEA,22585661,474861
Santa Cruz County ,2022,Annual,Total Personal Income - BEA,22832350,265158
Solano County ,2022,Annual,Total Personal Income - BEA,26149679,447012
Stanislaus County ,2022,Annual,Total Personal Income - BEA,28123096,547905
Monterey County ,2022,Annual,Total Personal Income - BEA,28189179,436843
Santa Barbara County ,2022,Annual,Total Personal Income - BEA,33607554,443956
Placer County ,2022,Annual,Total Personal Income - BEA,34170169,409692
Sonoma County ,2022,Annual,Total Personal Income - BEA,37598558,481297
Kern County ,2022,Annual,Total Personal Income - BEA,41098858,908708
San Joaquin County ,2022,Annual,Total Personal Income - BEA,42979635,784017
Marin County ,2022,Annual,Total Personal Income - BEA,43824350,255851
Fresno County ,2022,Annual,Total Personal Income - BEA,51316407,1011462
Ventura County ,2022,Annual,Total Personal Income - BEA,63589878,830434
Sacramento County ,2022,Annual,Total Personal Income - BEA,97517936,1578644
San Bernardino County ,2022,Annual,Total Personal Income - BEA,108081645,2179263
Contra Costa County ,2022,Annual,Total Personal Income - BEA,109965993,1150114
San Francisco County ,2022,Annual,Total Personal Income - BEA,125970097,843094
Riverside County ,2022,Annual,Total Personal Income - BEA,127195983,2432203
San Mateo County ,2022,Annual,Total Personal Income - BEA,127657596,746262
Alameda County ,2022,Annual,Total Personal Income - BEA,159241119,1649975
San Diego County ,2022,Annual,Total Personal Income - BEA,243506541,3293911
Orange County ,2022,Annual,Total Personal Income - BEA,263290135,3154042
Santa Clara County ,2022,Annual,Total Personal Income - BEA,270162197,1903274
Los Angeles County ,2022,Annual,Total Personal Income - BEA,720740528,9840925
California ,2022,Annual,Total Personal Income - BEA,3006647281,39146273
